,Accuracy,F1 Score,Recall,Precision,ROC-AUC,PR AUC
Logistic Regression w/GridsearchCV,0.9240986717267552,0.8815165876777252,0.8421052631578947,0.9247980111870727,0.9655926741425128,0.9553846193136749
Random Forest w/GridsearchCV,0.6948766603415559,0.16510903426791276,0.0899830220713073,1.0,0.931133569560637,0.9042477324568322
AdaBoost Classifier w/GridsearchCV,0.8943074003795066,0.8206119162640902,0.7209960384833051,0.9521674140508222,0.9636406727776871,0.9364912980956259
Support Vector Machine w/GridsearchCV,0.9318785578747628,0.8936926265916494,0.8539898132427843,0.9372670807453416,0.9653252988262466,0.9541107966458856
