,Accuracy,F1 Score,Recall,Precision,ROC-AUC,PR-AUC
Sm-ENN Multinomial Naive Bayes,0.7931127253161151,0.2697056030389364,0.6635514018691588,0.16924910607866508,0.7977701356113985,0.29633424057510677
Sm-ENNR andom Forest,0.9292440139897767,0.4270152505446623,0.45794392523364486,0.4,0.8651289548877997,0.3279621671575653
Sm-ENN Logistic Regression,0.7931127253161151,0.2697056030389364,0.6635514018691588,0.16924910607866508,0.8546132687336088,0.31700602594546656
Sm-ENN Support Vector Machine,0.8878127522195319,0.3554868624420402,0.5373831775700935,0.26558891454965355,0.8238572545294954,0.2941731768276217
Sm-ENN AdaBoost Classifier,0.8824320688727468,0.36017569546120054,0.5747663551401869,0.2622601279317697,0.8424661371694755,0.2987748891898325
Sm-ENN Gradient Boosting Classifier,0.8870056497175142,0.37685459940652816,0.5934579439252337,0.27608695652173915,0.8492480410649351,0.32514740520327856
