,Accuracy,F1 Score,Recall,Precision,PR AUC
RUS Multinomial Naive Bayes,0.7175141242937854,0.24892703862660945,0.8130841121495327,0.14695945945945946,0.32407934797399074
RUS Random Forest,0.7842345977939198,0.297723292469352,0.794392523364486,0.18318965517241378,0.32140829331296666
RUS Logistic Regression,0.8348130212536993,0.3509513742071882,0.7757009345794392,0.226775956284153,0.3287004625435436
RUS Support Vector Machine,0.7882701103040086,0.29919857524487975,0.7850467289719626,0.1848184818481848,0.29851379734389055
RUS AdaBoost Classifier,0.7936507936507936,0.2917820867959372,0.7383177570093458,0.18181818181818182,0.23353229542725612
RUS Gradient Boosting Classifier,0.7046004842615012,0.24794520547945206,0.8457943925233645,0.14526484751203853,0.31783610432268433
