,Accuracy,F1 Score,Recall,Precision,ROC-AUC,PR-AUC
Multinomial Naive Bayes,0.9426957223567393,0.009302325581395347,0.004672897196261682,1.0,0.7177479383492388,0.17675788857212738
Random Forest,0.9416195856873822,0.1685823754789272,0.102803738317757,0.46808510638297873,0.8425408394940518,0.32148429943586526
Logistic Regression,0.9443099273607748,0.20077220077220076,0.12149532710280374,0.5777777777777777,0.8743293465414158,0.355640424831512
Support Vector Machine,0.9391982781813291,0.2709677419354839,0.19626168224299065,0.4375,0.8364926191435379,0.32508683821796447
AdaBoost Classifier,0.9405434490180253,0.2706270627062706,0.19158878504672897,0.4606741573033708,0.814550145269342,0.2974936941220006
Gradient Boosting Classifier,0.9429647565240785,0.1846153846153846,0.11214953271028037,0.5217391304347826,0.8386076287081035,0.3494493036003755
