,Accuracy,F1 Score,Recall,Precision,PR AUC
Sm-ENN Multinomial Naive Bayes,0.7998385794995965,0.27485380116959063,0.6588785046728972,0.17364532019704434,0.2972061393928781
Sm-ENNR andom Forest,0.9249394673123487,0.39999999999999997,0.43457943925233644,0.3705179282868526,0.31776593899270716
Sm-ENN Logistic Regression,0.7998385794995965,0.27485380116959063,0.6588785046728972,0.17364532019704434,0.3135691087447256
Sm-ENN Support Vector Machine,0.8875437180521927,0.3549382716049383,0.5373831775700935,0.26497695852534564,0.2927430581345089
Sm-ENN AdaBoost Classifier,0.8087167070217918,0.2692702980472765,0.6121495327102804,0.1725955204216074,0.27693935156718635
Sm-ENN Gradient Boosting Classifier,0.8827011030400861,0.3681159420289855,0.5934579439252337,0.2668067226890756,0.3185887921115564
