,Accuracy,F1 Score,Recall,Precision,PR AUC
Multinomial Naive Bayes,0.8924608819345662,0.816147859922179,0.7116200169635284,0.9566704675028507,0.9284791828333587
Random Forest,0.9263157894736842,0.8865527814279457,0.8583545377438507,0.9166666666666666,0.9569217658490307
Logistic Regression,0.9345661450924608,0.9,0.8778625954198473,0.9232827832292596,0.962600992860457
Support Vector Machine,0.928022759601707,0.8909952606635071,0.8770144189991518,0.9054290718038529,0.9580938672008195
AdaBoost Classifier,0.910099573257468,0.8732959101844427,0.9236641221374046,0.8281368821292776,0.9403283740917995
Gradient Boosting Classifier,0.8793741109530583,0.7862903225806452,0.6615776081424937,0.968944099378882,0.907682424201905
